Part,Part Name,Role,"Form Page (even, left)","Diagram Page (odd, right)",Tier,Item,Spread Goal,Diagram Page Content,Form Page Fields,Base View
A,Admin,Part opener,A000,A001,Basic,Admin,See every document pinned to the part of the home it governs,"Exterior master view, ghosted; document callouts pinned to what they cover (deed→lot, policy→roof, mortgage→whole house). Reader interaction on the opener: Checklist: which documents exist, which are missing.",,Overlay
A,Admin,Spread,A002,A003,Basic,Budget & affordability,Understand the true monthly cost of this home and record yours,Pie chart of total monthly cost (PITI + utilities + upkeep); the 1-2% annual maintenance rule bar,Purchase price; down payment; monthly PITI; utilities estimate; maintenance reserve; total monthly cost,Document Desk
A,Admin,Spread,A004,A005,Basic,Mortgage & financing,Understand how a mortgage amortizes and record your loan,Amortization curve (interest vs principal over the term); anatomy of one payment,Lender/servicer; loan #; type; rate; term; monthly payment; escrow Y/N; payoff date,Document Desk
A,Admin,Spread,A006,A007,Basic,Home inspection,Understand what an inspection covers and log your report's findings,House cutaway tagged with the major inspection zones,Inspector; date; report location; major findings; fixed items; deferred items,Document Desk
A,Admin,Spread,A008,A009,Basic,Appraisal,Understand how home value is determined and record yours,"Comps map; value-drivers diagram (location, size, condition)",Appraised value; date; appraiser; $/sqft; comps used,Document Desk
A,Admin,Spread,A010,A011,Basic,Title & deed,Understand what proves ownership and where yours lives,Chain-of-title timeline; annotated sample deed,Deed type; recording date; county registry; title policy #; storage location,Document Desk
A,Admin,Spread,A012,A013,Basic,Closing & escrow,Understand the closing process and archive your documents,Closing flowchart (offer→escrow→keys); settlement statement anatomy,Closing date; escrow company; cash to close; document storage location,Document Desk
A,Admin,Spread,A014,A015,Basic,Property survey & boundaries,Know exactly what land is yours,Annotated plat/survey sample; corner-pin locator sketch,Survey date; surveyor; lot size; pin locations; easements; encroachments,Document Desk
A,Admin,Spread,A016,A017,Basic,Permits & zoning,Know your zoning envelope,Lot diagram showing setbacks and height limits,Zoning class; setbacks; height limit; permit office contact,Document Desk
A,Admin,Spread,A018,A019,Basic,Tracking home value & equity,Watch your largest asset grow,Equity stack chart (value vs loan balance over years),Estimated value by year; loan balance; equity; improvements added,Document Desk
A,Admin,Spread,A020,A021,Basic,Preparing to sell,Know what selling well requires,Sale-prep timeline (90/60/30 days); curb-appeal checklist illustration,Target date; agent; repair list; staging notes; list price,Document Desk
A,Admin,Spread,A200,A201,Advanced,Renovation planning,Plan projects like a contractor,Project lifecycle flow (dream→budget→permit→build→inspect); cost-vs-value chart,Project; budget; contractor; permit #; start/end; final cost,Document Desk
A,Admin,Spread,A202,A203,Advanced,Permits for improvements,Know when the city must say yes,Permit decision tree; inspection sequence diagram,Permit #; scope; issued date; inspections passed; closed date,Document Desk
A,Admin,Spread,A204,A205,Advanced,Transferring the home,Understand the ways a home changes hands,Transfer paths diagram (sale / gift / inheritance / trust),Intended path; attorney; documents in place; beneficiaries,Document Desk
A,Admin,Spread,A400,A401,Professional,Renting out space,The home as income,"Rental readiness diagram (legal, safety, insurance)",Space rented; permits; insurance rider; income records,Document Desk
B,Bookkeeping,Part opener,B000,B001,Basic,Bookkeeping,"See every account, policy, and record attached to the home","Exterior master view, ghosted; record callouts (utility accounts→meters, warranties→appliances, shutoff map→valves). Reader interaction on the opener: Checklist: records complete vs missing per callout.",,Overlay
B,Bookkeeping,Spread,B002,B003,Basic,Home records & filing system,Every paper findable in a minute,Filing tree of home record categories,System used; location; categories; backup method,Document Desk
B,Bookkeeping,Spread,B004,B005,Basic,Home inventory,Prove what you own before you lose it,Room-by-room inventory walk diagram,Rooms completed; video date; cloud storage; appraised items,Document Desk
B,Bookkeeping,Spread,B006,B007,Basic,Homeowner's insurance,Understand what your policy covers and record it,Coverage umbrella diagram (dwelling/property/liability/ALE); claim process flow,Carrier; policy #; premium; deductible; dwelling coverage; renewal date; agent,Document Desk
B,Bookkeeping,Spread,B008,B009,Basic,Property taxes,Understand how your tax bill is calculated,Tax math diagram (assessed value × rate); appeal process flow,Parcel #; assessed value; annual tax; due dates; exemptions,Document Desk
B,Bookkeeping,Spread,B200,B201,Advanced,Flood insurance,Know your flood risk and your coverage,Flood-zone map sketch; covered vs not-covered split,Flood zone; policy #; premium; coverage amount; elevation certificate Y/N,Document Desk
B,Bookkeeping,Spread,B202,B203,Advanced,Hazard / umbrella insurance,Understand liability beyond the basics,Liability layers diagram (home policy → umbrella),Policy #; limit; premium; carrier; renewal date,Document Desk
B,Bookkeeping,Spread,B204,B205,Advanced,HOA / covenants & restrictions,Know the rules that bind your property,Governance diagram (board→rules→you); what-needs-approval chart,HOA name; dues; contact; key restrictions; approvals required for,Document Desk
B,Bookkeeping,Spread,B206,B207,Advanced,Home warranty plan,Know what the plan really covers,Home warranty vs insurance Venn diagram,Provider; cost; covered systems; claim process; renewal,Document Desk
